rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
169,frame_0218.jpg,87.2,0.4628,0.5634,0.3636,0.36,14,4,False,False
170,frame_0108.jpg,43.2,0.4627,0.6368,0.4545,0.04,17,5,False,False
171,frame_0101.jpg,40.4,0.4621,0.7285,0.2727,0.08,16,3,False,False
172,frame_0319.jpg,127.6,0.4621,0.6485,0.2727,0.28,16,3,False,False
173,frame_0012.jpg,4.8,0.4607,0.4123,0.1818,1.0,7,2,False,False
174,frame_0220.jpg,88.0,0.4603,0.5904,0.3636,0.28,15,4,False,False
175,frame_0011.jpg,4.4,0.4602,0.4113,0.1818,1.0,6,2,False,False
176,frame_0313.jpg,125.2,0.4602,0.6317,0.4545,0.04,15,5,False,False
177,frame_0287.jpg,114.8,0.4598,0.4294,0.3636,0.68,15,4,False,False
178,frame_0398.jpg,159.2,0.4569,0.5996,0.3636,0.24,16,4,False,False
179,frame_0219.jpg,87.6,0.4516,0.5571,0.3636,0.32,13,4,False,False
180,frame_0096.jpg,38.4,0.4504,0.58,0.4545,0.12,14,5,False,False
181,frame_0205.jpg,82.0,0.4489,0.4461,0.2727,0.72,9,3,False,False
182,frame_0327.jpg,130.8,0.4484,0.6626,0.3636,0.04,19,4,False,False
183,frame_0014.jpg,5.6,0.4474,0.4402,0.0909,1.0,7,1,False,False
184,frame_0300.jpg,120.0,0.4468,0.4835,0.3636,0.48,16,4,False,False
185,frame_0322.jpg,128.8,0.4466,0.6656,0.2727,0.16,13,3,False,False
186,frame_0191.jpg,76.4,0.4462,0.7194,0.1818,0.16,15,2,False,False
187,frame_0215.jpg,86.0,0.4443,0.4238,0.4545,0.48,13,5,False,False
188,frame_0208.jpg,83.2,0.4419,0.5798,0.0,0.76,8,0,False,False
189,frame_0089.jpg,35.6,0.4397,0.6104,0.1818,0.4,14,2,False,False
190,frame_0374.jpg,149.6,0.4374,0.6858,0.1818,0.2,17,2,False,False
191,frame_0192.jpg,76.8,0.4373,0.5764,0.3636,0.2,11,4,False,False
192,frame_0103.jpg,41.2,0.4362,0.5902,0.3636,0.16,13,4,False,False
193,frame_0367.jpg,146.8,0.4344,0.6732,0.2727,0.08,17,3,False,False
194,frame_0280.jpg,112.0,0.4341,0.5446,0.2727,0.4,13,3,False,False
195,frame_0379.jpg,151.6,0.4337,0.6333,0.3636,0.04,16,4,False,False
196,frame_0395.jpg,158.0,0.4319,0.5977,0.3636,0.12,13,4,False,False
197,frame_0091.jpg,36.4,0.4316,0.5715,0.2727,0.32,9,3,False,False
198,frame_0397.jpg,158.8,0.4295,0.4518,0.5455,0.2,14,6,False,False
199,frame_0216.jpg,86.4,0.4277,0.4612,0.3636,0.44,12,4,False,False
200,frame_0396.jpg,158.4,0.4274,0.6271,0.2727,0.16,14,3,False,False
201,frame_0291.jpg,116.4,0.4272,0.4094,0.1818,0.84,12,2,False,False
202,frame_0207.jpg,82.8,0.4267,0.5333,0.0,0.8,8,0,False,False
203,frame_0098.jpg,39.2,0.4265,0.5643,0.4545,0.04,20,5,False,False
204,frame_0308.jpg,123.2,0.4251,0.6225,0.2727,0.16,16,3,False,False
205,frame_0121.jpg,48.4,0.424,0.4604,0.2727,0.56,13,3,False,False
206,frame_0217.jpg,86.8,0.4222,0.5207,0.2727,0.4,9,3,False,False
207,frame_0116.jpg,46.4,0.422,0.5364,0.2727,0.36,14,3,False,False
208,frame_0199.jpg,79.6,0.421,0.4864,0.2727,0.48,6,3,False,False
